epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7616,1.64507,2.11091,1.42795,1,0.59964,0.92573,0.51731,1.32549,1.97233,1.20918,0.000327485,0.000327485,0.0675789
2,27.4687,1.35186,1.06349,1.14249,0.91568,0.94895,0.98486,0.65446,1.19388,0.85527,1.07549,0.000656457,0.000656457,0.0345746
3,35.2257,1.27275,0.95742,1.09936,0.9611,0.96117,0.98637,0.66994,1.10125,0.74916,1.05859,0.000981029,0.000981029,0.00156582
4,40.6358,1.21262,0.84969,1.08372,0.95649,0.96117,0.98895,0.65381,1.13432,0.72588,1.07036,0.0009802,0.0009802,0.0009802
5,46.0879,1.21008,0.83976,1.0606,0.95369,0.94175,0.97812,0.6633,1.13004,0.70517,1.05963,0.0009736,0.0009736,0.0009736
6,51.4377,1.17234,0.80593,1.0626,0.95416,0.98058,0.99357,0.69907,1.14184,0.66168,1.04917,0.000967,0.000967,0.000967
7,57.0212,1.19567,0.79849,1.06646,0.94736,0.95146,0.98881,0.6948,1.07166,0.66648,1.04255,0.0009604,0.0009604,0.0009604
8,62.414,1.14745,0.77931,1.06551,0.97085,0.97002,0.99138,0.68338,1.09757,0.61477,1.02857,0.0009538,0.0009538,0.0009538
9,70.072,1.19156,0.7832,1.07265,0.95147,0.95165,0.98715,0.67024,1.07944,0.62951,1.03778,0.0009472,0.0009472,0.0009472
10,75.4993,1.12362,0.74344,1.04932,0.97073,0.96593,0.9931,0.68059,1.08155,0.58436,1.01998,0.0009406,0.0009406,0.0009406
11,80.8972,1.13318,0.70023,1.04935,0.97979,0.94136,0.99033,0.68368,1.09932,0.58481,1.03116,0.000934,0.000934,0.000934
12,86.2022,1.16265,0.68745,1.03937,0.96835,0.97087,0.99089,0.71019,0.98887,0.56285,0.9908,0.0009274,0.0009274,0.0009274
13,91.5207,1.08099,0.65821,1.02885,0.91574,0.94968,0.97904,0.70224,1.04546,0.58642,1.02682,0.0009208,0.0009208,0.0009208
14,96.7088,1.11071,0.67189,1.03533,0.96813,0.98058,0.99276,0.71864,1.00746,0.53628,0.99885,0.0009142,0.0009142,0.0009142
15,104.071,1.09552,0.65842,1.02393,0.934,0.98058,0.97963,0.62896,1.20628,0.60738,1.06756,0.0009076,0.0009076,0.0009076
16,109.419,1.11181,0.66135,1.03818,0.96161,0.97276,0.99228,0.70182,1.06524,0.54818,1.00946,0.000901,0.000901,0.000901
17,114.776,1.0965,0.65959,1.0228,0.96636,0.95146,0.98729,0.71677,1.02686,0.57543,1.00182,0.0008944,0.0008944,0.0008944
