epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8826,1.46935,1.88935,1.45768,1,0.58929,0.585,0.2462,1.7058,3.90621,1.6577,0.000327485,0.000327485,0.0675789
2,31.1928,1.28152,0.84106,1.30514,0.99693,1,0.995,0.72701,1.03213,0.99878,1.15055,0.000656457,0.000656457,0.0345746
3,38.2679,1.1707,0.71204,1.22056,0.98202,1,0.99401,0.7096,1.02501,0.56151,1.14765,0.000981029,0.000981029,0.00156582
4,44.5925,1.19994,0.68448,1.23666,0.99914,1,0.995,0.70959,1.00141,0.52627,1.12319,0.0009802,0.0009802,0.0009802
5,51.2779,1.13504,0.64273,1.19229,0.9898,0.99107,0.99482,0.71131,1.01581,0.5316,1.12684,0.0009736,0.0009736,0.0009736
6,57.8158,1.11775,0.59981,1.17221,0.99867,1,0.995,0.69017,1.11631,0.5227,1.16364,0.000967,0.000967,0.000967
7,65.0413,1.15764,0.60609,1.20247,0.99836,1,0.995,0.7253,0.96258,0.56695,1.09916,0.0009604,0.0009604,0.0009604
8,73.6362,1.14088,0.61619,1.19415,0.99911,1,0.995,0.70233,1.02252,0.5257,1.12491,0.0009538,0.0009538,0.0009538
9,80.2943,1.09245,0.58918,1.14568,0.9992,1,0.995,0.69683,1.04752,0.46357,1.14509,0.0009472,0.0009472,0.0009472
10,87.1654,1.10121,0.5671,1.17025,0.99819,1,0.995,0.71841,1.00282,0.49408,1.11666,0.0009406,0.0009406,0.0009406
11,93.94,1.08354,0.54666,1.15246,0.99895,1,0.995,0.6672,1.10635,0.4873,1.17258,0.000934,0.000934,0.000934
12,100.071,1.11631,0.54353,1.14739,0.99833,1,0.995,0.72719,0.99976,0.4447,1.11079,0.0009274,0.0009274,0.0009274
13,106.649,1.11124,0.52651,1.14731,0.99906,1,0.995,0.73141,0.94767,0.43624,1.10369,0.0009208,0.0009208,0.0009208
14,113.008,1.05663,0.51941,1.152,0.99909,1,0.995,0.74544,0.9331,0.43704,1.07166,0.0009142,0.0009142,0.0009142
15,119.918,1.06292,0.50439,1.13624,0.99917,1,0.995,0.70961,1.02672,0.4358,1.1292,0.0009076,0.0009076,0.0009076
16,126.972,1.07599,0.51254,1.1576,0.99895,1,0.995,0.72928,0.9457,0.46955,1.10167,0.000901,0.000901,0.000901
17,134.563,1.04455,0.50687,1.12134,0.99915,1,0.995,0.71379,0.98991,0.42405,1.11372,0.0008944,0.0008944,0.0008944
18,141.415,1.01207,0.51012,1.11507,0.99971,1,0.995,0.73393,0.95877,0.44734,1.09225,0.0008878,0.0008878,0.0008878
19,147.784,1.03053,0.49486,1.11154,0.99873,1,0.995,0.7103,1.04044,0.44022,1.1324,0.0008812,0.0008812,0.0008812
20,153.617,1.04906,0.50869,1.1246,0.99875,1,0.995,0.70209,1.02908,0.41252,1.12864,0.0008746,0.0008746,0.0008746
