epoch	lr	train_loss	defect_iou	obj_recall	obj_precision	obj_f1	best_metric[f1_object]	is_best
1	0.001000	0.4202	0.3914	0.8000	0.4762	0.5970	0.5970	1
2	0.001000	0.3037	0.0352	0.9000	0.0712	0.1320	0.1320	0
3	0.000999	0.3046	0.0675	0.9600	0.0216	0.0423	0.0423	0
4	0.000998	0.2718	0.3944	0.8000	0.5797	0.6723	0.6723	1
5	0.000996	0.2937	0.0067	1.0000	0.0147	0.0291	0.0291	0
6	0.000994	0.2722	0.3697	0.7800	0.6500	0.7091	0.7091	1
7	0.000991	0.2878	0.3291	0.8400	0.3750	0.5185	0.5185	0
8	0.000988	0.2736	0.3898	0.7000	0.7292	0.7143	0.7143	1
9	0.000984	0.2770	0.4299	0.6600	0.8049	0.7253	0.7253	1
10	0.000980	0.2650	0.3759	0.8000	0.4651	0.5882	0.5882	0
11	0.000976	0.2695	0.3996	0.8000	0.5479	0.6504	0.6504	0
12	0.000970	0.2905	0.0033	1.0000	0.0285	0.0555	0.0555	0
13	0.000965	0.2488	0.1961	0.9600	0.1345	0.2359	0.2359	0
14	0.000959	0.2382	0.1558	0.6800	0.8095	0.7391	0.7391	1
15	0.000952	0.2416	0.1159	0.9200	0.1451	0.2507	0.2507	0
16	0.000946	0.2483	0.0143	0.9400	0.0422	0.0808	0.0808	0
17	0.000938	0.2433	0.1975	0.5800	0.8286	0.6824	0.6824	0
18	0.000930	0.2594	0.3704	0.7400	0.5068	0.6016	0.6016	0
19	0.000922	0.2647	0.3352	0.6600	0.6875	0.6735	0.6735	0
20	0.000914	0.2373	0.3546	0.7400	0.5068	0.6016	0.6016	0
21	0.000905	0.2346	0.0031	1.0000	0.0240	0.0469	0.0469	0
22	0.000895	0.2396	0.3005	0.6000	0.3947	0.4762	0.4762	0
23	0.000885	0.2265	0.2198	0.8000	0.2899	0.4255	0.4255	0
24	0.000875	0.2276	0.1727	0.5800	0.6905	0.6304	0.6304	0
25	0.000864	0.2294	0.3045	0.6800	0.5397	0.6018	0.6018	0
26	0.000854	0.2088	0.0418	0.6400	0.1808	0.2819	0.2819	0
27	0.000842	0.2064	0.3592	0.5600	0.8750	0.6829	0.6829	0
28	0.000831	0.2381	0.3465	0.7800	0.6000	0.6783	0.6783	0
29	0.000819	0.2359	0.4313	0.5800	0.8286	0.6824	0.6824	0
30	0.000806	0.2051	0.3895	0.6000	0.8571	0.7059	0.7059	0
31	0.000794	0.2293	0.4525	0.6000	0.9091	0.7229	0.7229	0
32	0.000781	0.1985	0.3479	0.5800	0.9667	0.7250	0.7250	0
33	0.000768	0.2138	0.4273	0.5600	0.8485	0.6747	0.6747	0
34	0.000755	0.2022	0.4187	0.7400	0.8605	0.7957	0.7957	1
35	0.000741	0.2074	0.2855	0.7000	0.7447	0.7216	0.7216	0
36	0.000727	0.1918	0.3261	0.6800	0.5763	0.6239	0.6239	0
